City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
93,Malazgirt,39.1427,42.5401,36.64,55,0,1.25,TR
94,Batagay-Alyta,67.8006,130.4114,-13.34,99,100,0.96,RU
95,Husavik,66.0449,-17.3389,46.04,90,100,17.0,IS
96,Ayutla,20.1167,-104.3333,63.43,67,6,4.97,MX
97,North Bend,43.4065,-124.2243,47.07,86,0,8.05,US
98,Sao Joao Da Barra,-21.6403,-41.0511,74.82,90,98,17.0,BR
99,Geraldton,-28.7667,114.6,75.61,35,0,14.97,AU
100,Hobart,-42.8794,147.3294,58.86,93,75,13.8,AU
101,Chipinge,-20.1883,32.6236,64.8,93,100,1.83,ZW
102,Pelym,61.0108,61.9978,11.03,92,100,10.38,RU
103,Port Hardy,50.6996,-127.4199,39.38,100,75,0.0,CA
104,Nikolskoye,59.7035,30.7861,34.81,85,16,3.96,RU
105,Saint-Joseph,-21.3667,55.6167,70.18,82,86,12.68,RE
106,Arraial Do Cabo,-22.9661,-42.0278,73.72,94,100,12.44,BR
107,Bar Harbor,44.3876,-68.2039,42.28,92,100,12.66,US
108,Mahebourg,-20.4081,57.7,72.25,79,56,4.34,MU
109,Bainbridge,47.6262,-122.5212,46.38,82,20,4.0,US
110,Saint-Pierre,-21.3393,55.4781,71.28,88,75,8.05,RE
111,Basco,20.4487,121.9702,81.34,79,41,20.65,PH
112,Yeniseysk,58.4497,92.1703,28.29,89,83,6.2,RU
113,Waitati,-45.75,170.5667,55.8,77,96,9.75,NZ
114,Mani,4.8172,-72.2886,74.55,93,80,5.23,CO
115,Lagoa,39.05,-27.9833,64.36,87,100,29.26,PT
116,Anloga,5.7947,0.8973,80.1,80,100,4.12,GH
117,Jawhar,2.7809,45.5005,74.44,88,1,4.32,SO
118,Ahipara,-35.1667,173.1667,67.12,62,0,10.38,NZ
119,Severo-Kurilsk,50.6789,156.125,32.02,93,100,38.86,RU
120,Isangel,-19.55,169.2667,81.12,74,15,8.39,VU
121,Gloversville,43.0528,-74.3438,37.26,86,100,9.22,US
122,Coihaique,-45.5752,-72.0662,54.21,71,0,2.3,CL
123,Merauke,-8.4667,140.3333,86.58,64,94,8.19,ID
124,Ruwi,23.5996,58.5507,76.69,50,0,6.11,OM
125,Cayenne,4.9333,-52.3333,77.04,94,75,2.3,GF
126,Ilulissat,69.2167,-51.1,33.82,60,8,6.91,GL
127,Davila,18.4726,120.5763,84.18,74,97,17.98,PH
128,Victoria,22.2855,114.1577,78.19,78,81,11.01,HK
129,Talnakh,69.4865,88.3972,-24.02,82,19,3.56,RU
130,Nome,64.5011,-165.4064,21.27,63,0,8.05,US
131,Pontes E Lacerda,-15.2261,-59.3353,81.73,52,67,3.53,BR
132,Muros,42.7762,-9.0603,54.68,93,87,8.66,ES
133,Kuala Kedah,6.1,100.3,78.08,89,100,7.34,MY
134,Umm Lajj,25.0213,37.2685,78.15,56,0,7.63,SA
135,Agirish,61.9247,63.0231,6.75,94,100,8.39,RU
136,Ahuimanu,21.4447,-157.8378,83.91,64,40,12.66,US
137,Marienburg,54.0359,19.0266,52.84,76,100,6.04,PL
138,Reforma,18.1,-91.0167,72.46,89,2,6.26,MX
139,Beipiao,41.7919,120.7792,37.11,46,0,4.65,CN
140,Roald,62.5833,6.1333,52.75,93,19,5.75,NO
141,Sabha,27.0377,14.4283,59.67,39,0,5.77,LY
142,Alugan,12.2188,125.4808,82.74,82,31,10.94,PH
143,Ontario,34.0633,-117.6509,63.05,45,20,6.91,US
144,Fort Nelson,58.8053,-122.7002,24.94,89,36,4.0,CA
145,Khatanga,71.9667,102.5,-20.36,98,100,7.61,RU
146,Yellowknife,62.456,-114.3525,14.72,95,19,9.01,CA
147,Sao Miguel Do Araguaia,-13.275,-50.1628,78.19,59,4,4.09,BR
148,Nishihara,26.1842,127.7558,76.28,65,75,17.27,JP
149,Dingle,10.9995,122.6711,82.96,80,87,13.76,PH
150,Tommot,58.9564,126.2925,16.21,90,100,1.7,RU
151,Thayetmyo,19.3167,95.1833,71.04,79,19,5.44,MM
152,Lulea,65.5842,22.1547,24.87,93,18,5.75,SE
153,Makakilo City,21.3469,-158.0858,82.72,55,20,12.66,US
154,Alberton,46.8168,-64.0654,44.51,91,100,17.22,CA
155,Port Alfred,-33.5906,26.891,55.18,89,8,9.26,ZA
156,Cabo San Lucas,22.8909,-109.9124,76.51,67,0,3.44,MX
157,Pyinmana,19.7333,96.2167,70.88,80,10,3.27,MM
158,Harper,4.375,-7.7169,77.43,88,37,7.81,LR
